Arm Hole chosen,0
Spring Hole: 0,Invalid config,0,0,Arm Bolt Location: 1, angle: NaN, distance: NaN,Arm Bolt Location: 2, angle: NaN, distance: NaN,Arm Bolt Location: 3, angle: NaN, distance: NaN,Arm Bolt Location: 4, angle: NaN, distance: NaN,Arm Bolt Location: 5, angle: -61.86026450485575, distance: 0.9792213132625152,Arm Bolt Location: 6, angle: -33.46998021317785, distance: 0.5350599604645229,Arm Bolt Location: 7, angle: -16.678435357014834, distance: 0.2517833272620589,Arm Bolt Location: 8, angle: -3.647908007781494, distance: 0.05062166469940301,Arm Bolt Location: 9, angle: 7.604447606182107, distance: -0.09148029456161533,Arm Bolt Location: 10, angle: 18.005000690654636, distance: -0.15404974463926052,Arm Bolt Location: 11, angle: 28.158291279712, distance: -0.055512176826060806,Arm Bolt Location: 12, angle: 38.627160596708244, distance: 0.3427185603976097,Arm Bolt Location: 13, angle: 50.22282477760835, distance: 1.1539968067371935,Arm Bolt Location: 14, angle: 65.02607167973599, distance: 2.266625673161264,Arm Bolt Location: 15, angle: 90, distance: 2.541867812972196,Arm Bolt Location: 16, angle: 90, distance: 2.855686245854129,Arm Bolt Location: 17, angle: 90, distance: 2.855686245854129,Arm Bolt Location: 18, angle: 90, distance: 2.855686245854129,Arm Bolt Location: 19, angle: 90, distance: 2.855686245854129,
Spring Hole: 1,Invalid config,0,0,Invalid config,0,0,Arm Bolt Location: 2, angle: NaN, distance: NaN,Arm Bolt Location: 3, angle: NaN, distance: NaN,Arm Bolt Location: 4, angle: NaN, distance: NaN,Arm Bolt Location: 5, angle: NaN, distance: NaN,Arm Bolt Location: 6, angle: -61.86026450485575, distance: 1.000241032859354,Arm Bolt Location: 7, angle: -33.46998021317785, distance: 0.539156012177374,Arm Bolt Location: 8, angle: -16.678435357014834, distance: 0.2514121822625324,Arm Bolt Location: 9, angle: -3.647908007781494, distance: 0.050182865995817706,Arm Bolt Location: 10, angle: 7.604447606182107, distance: -0.08945010476282103,Arm Bolt Location: 11, angle: 18.005000690654636, distance: -0.14417078857232093,Arm Bolt Location: 12, angle: 28.158291279712, distance: -0.026921805688202405,Arm Bolt Location: 13, angle: 38.627160596708244, distance: 0.40341401277719313,Arm Bolt Location: 14, angle: 50.22282477760835, distance: 1.2510873428786378,Arm Bolt Location: 15, angle: 65.02607167973599, distance: 2.3767071939215527,Arm Bolt Location: 16, angle: 90, distance: 2.5877266505875802,Arm Bolt Location: 17, angle: 90, distance: 2.855686245854129,Arm Bolt Location: 18, angle: 90, distance: 2.855686245854129,Arm Bolt Location: 19, angle: 90, distance: 2.855686245854129,
Spring Hole: 2,Invalid config,0,0,Invalid config,0,0,Invalid config,0,0,Arm Bolt Location: 3, angle: NaN, distance: NaN,Arm Bolt Location: 4, angle: NaN, distance: NaN,Arm Bolt Location: 5, angle: NaN, distance: NaN,Arm Bolt Location: 6, angle: NaN, distance: NaN,Arm Bolt Location: 7, angle: -61.86026450485575, distance: 1.0211024699994937,Arm Bolt Location: 8, angle: -33.46998021317785, distance: 0.5429315806837798,Arm Bolt Location: 9, angle: -16.678435357014834, distance: 0.25075454513694,Arm Bolt Location: 10, angle: -3.647908007781494, distance: 0.049676855232743095,Arm Bolt Location: 11, angle: 7.604447606182107, distance: -0.0871747786503877,Arm Bolt Location: 12, angle: 18.005000690654636, distance: -0.13320590339291014,Arm Bolt Location: 13, angle: 28.158291279712, distance: 0.00439663079426081,Arm Bolt Location: 14, angle: 38.627160596708244, distance: 0.4687764412995395,Arm Bolt Location: 15, angle: 50.22282477760835, distance: 1.353824456351803,Arm Bolt Location: 16, angle: 65.02607167973599, distance: 2.490858197079626,Arm Bolt Location: 17, angle: 90, distance: 2.6331962831764217,Arm Bolt Location: 18, angle: 90, distance: 2.855686245854129,Arm Bolt Location: 19, angle: 90, distance: 2.855686245854129,
Spring Hole: 3,Invalid config,0,0,Invalid config,0,0,Invalid config,0,0,Invalid config,0,0,Arm Bolt Location: 4, angle: NaN, distance: NaN,Arm Bolt Location: 5, angle: NaN, distance: NaN,Arm Bolt Location: 6, angle: NaN, distance: NaN,Arm Bolt Location: 7, angle: NaN, distance: NaN,Arm Bolt Location: 8, angle: -61.86026450485575, distance: 1.0418293051810847,Arm Bolt Location: 9, angle: -33.46998021317785, distance: 0.5463266336402952,Arm Bolt Location: 10, angle: -16.678435357014834, distance: 0.24980706890142465,Arm Bolt Location: 11, angle: -3.647908007781494, distance: 0.049097492250809886,Arm Bolt Location: 12, angle: 7.604447606182107, distance: -0.08462104072492702,Arm Bolt Location: 13, angle: 18.005000690654636, distance: -0.12100075296533606,Arm Bolt Location: 14, angle: 28.158291279712, distance: 0.038802045696084135,Arm Bolt Location: 15, angle: 38.627160596708244, distance: 0.5393770224568747,Arm Bolt Location: 16, angle: 50.22282477760835, distance: 1.462909517942063,Arm Bolt Location: 17, angle: 65.02607167973599, distance: 2.60964778585402,Arm Bolt Location: 18, angle: 90, distance: 2.6782864552563814,Arm Bolt Location: 19, angle: 90, distance: 2.855686245854129,
Spring Hole: 4,Invalid config,0,0,Invalid config,0,0,Invalid config,0,0,Invalid config,0,0,Invalid config,0,0,Arm Bolt Location: 5, angle: NaN, distance: NaN,Arm Bolt Location: 6, angle: NaN, distance: NaN,Arm Bolt Location: 7, angle: NaN, distance: NaN,Arm Bolt Location: 8, angle: NaN, distance: NaN,Arm Bolt Location: 9, angle: -61.86026450485575, distance: 1.0624472918624372,Arm Bolt Location: 10, angle: -33.46998021317785, distance: 0.5492413754949556,Arm Bolt Location: 11, angle: -16.678435357014834, distance: 0.24856588275969907,Arm Bolt Location: 12, angle: -3.647908007781494, distance: 0.04843675039148386,Arm Bolt Location: 13, angle: 7.604447606182107, distance: -0.08174748130517333,Arm Bolt Location: 14, angle: 18.005000690654636, distance: -0.10736562804157203,Arm Bolt Location: 15, angle: 28.158291279712, distance: 0.07673568407489811,Arm Bolt Location: 16, angle: 38.627160596708244, distance: 0.6159335973195125,Arm Bolt Location: 17, angle: 50.22282477760835, distance: 1.5792571726365792,Arm Bolt Location: 18, angle: 65.02607167973599, distance: 2.733851138351316,Arm Bolt Location: 19, angle: 90, distance: 2.723006511385154,
Spring Hole: 5,Invalid config,0,0,Invalid config,0,0,Invalid config,0,0,Invalid config,0,0,Invalid config,0,0,Invalid config,0,0,Arm Bolt Location: 6, angle: NaN, distance: NaN,Arm Bolt Location: 7, angle: NaN, distance: NaN,Arm Bolt Location: 8, angle: NaN, distance: NaN,Arm Bolt Location: 9, angle: NaN, distance: NaN,Arm Bolt Location: 10, angle: -61.86026450485575, distance: 1.0829849277633694,Arm Bolt Location: 11, angle: -33.46998021317785, distance: 0.5515199487189336,Arm Bolt Location: 12, angle: -16.678435357014834, distance: 0.24702362390598104,Arm Bolt Location: 13, angle: -3.647908007781494, distance: 0.047684187523272414,Arm Bolt Location: 14, angle: 7.604447606182107, distance: -0.07850200601023104,Arm Bolt Location: 15, angle: 18.005000690654636, distance: -0.092063590711138,Arm Bolt Location: 16, angle: 28.158291279712, distance: 0.11875222559146904,Arm Bolt Location: 17, angle: 38.627160596708244, distance: 0.6993752442969556,Arm Bolt Location: 18, angle: 50.22282477760835, distance: 1.704104337423456,Arm Bolt Location: 19, angle: 65.02607167973599, distance: 2.8645739741041476,
Spring Hole: 6,Invalid config,0,0,Invalid config,0,0,Invalid config,0,0,Invalid config,0,0,Invalid config,0,0,Invalid config,0,0,Invalid config,0,0,Arm Bolt Location: 7, angle: NaN, distance: NaN,Arm Bolt Location: 8, angle: NaN, distance: NaN,Arm Bolt Location: 9, angle: NaN, distance: NaN,Arm Bolt Location: 10, angle: NaN, distance: NaN,Arm Bolt Location: 11, angle: -61.86026450485575, distance: 1.1034743291304294,Arm Bolt Location: 12, angle: -33.46998021317785, distance: 0.5529466273451978,Arm Bolt Location: 13, angle: -16.678435357014834, distance: 0.24516647371259484,Arm Bolt Location: 14, angle: -3.647908007781494, distance: 0.04682619771231881,Arm Bolt Location: 15, angle: 7.604447606182107, distance: -0.07481811541483493,Arm Bolt Location: 16, angle: 18.005000690654636, distance: -0.07479266870476278,Arm Bolt Location: 17, angle: 28.158291279712, distance: 0.16556876970948534,Arm Bolt Location: 18, angle: 38.627160596708244, distance: 0.7909497265399063,Arm Bolt Location: 19, angle: 50.22282477760835, distance: 1.83920457900431,
Spring Hole: 7,Invalid config,0,0,Invalid config,0,0,Invalid config,0,0,Invalid config,0,0,Invalid config,0,0,Invalid config,0,0,Invalid config,0,0,Invalid config,0,0,Arm Bolt Location: 8, angle: NaN, distance: NaN,Arm Bolt Location: 9, angle: NaN, distance: NaN,Arm Bolt Location: 10, angle: NaN, distance: NaN,Arm Bolt Location: 11, angle: NaN, distance: NaN,Arm Bolt Location: 12, angle: -61.86026450485575, distance: 1.1239524000488534,Arm Bolt Location: 13, angle: -33.46998021317785, distance: 0.5532880954476593,Arm Bolt Location: 14, angle: -16.678435357014834, distance: 0.2429711908435167,Arm Bolt Location: 15, angle: -3.647908007781494, distance: 0.045844912356675045,Arm Bolt Location: 16, angle: 7.604447606182107, distance: -0.07060928608274444,Arm Bolt Location: 17, angle: 18.005000690654636, distance: -0.055157907572906575,Arm Bolt Location: 18, angle: 28.158291279712, distance: 0.21814627695231922,Arm Bolt Location: 19, angle: 38.627160596708244, distance: 0.8924150498748519,
Spring Hole: 8,Invalid config,0,0,Invalid config,0,0,Invalid config,0,0,Invalid config,0,0,Invalid config,0,0,Invalid config,0,0,Invalid config,0,0,Invalid config,0,0,Invalid config,0,0,Arm Bolt Location: 9, angle: NaN, distance: NaN,Arm Bolt Location: 10, angle: NaN, distance: NaN,Arm Bolt Location: 11, angle: NaN, distance: NaN,Arm Bolt Location: 12, angle: NaN, distance: NaN,Arm Bolt Location: 13, angle: -61.86026450485575, distance: 1.1444624398969108,Arm Bolt Location: 14, angle: -33.46998021317785, distance: 0.5523926057103731,Arm Bolt Location: 15, angle: -16.678435357014834, distance: 0.24040173757556826,Arm Bolt Location: 16, angle: -3.647908007781494, distance: 0.04471652417869202,Arm Bolt Location: 17, angle: 7.604447606182107, distance: -0.06576011288737414,Arm Bolt Location: 18, angle: 18.005000690654636, distance: -0.032625034694918356,Arm Bolt Location: 19, angle: 28.158291279712, distance: 0.2778346728989964,
Spring Hole: 9,Invalid config,0,0,Invalid config,0,0,Invalid config,0,0,Invalid config,0,0,Invalid config,0,0,Invalid config,0,0,Invalid config,0,0,Invalid config,0,0,Invalid config,0,0,Invalid config,0,0,Arm Bolt Location: 10, angle: NaN, distance: NaN,Arm Bolt Location: 11, angle: NaN, distance: NaN,Arm Bolt Location: 12, angle: NaN, distance: NaN,Arm Bolt Location: 13, angle: NaN, distance: NaN,Arm Bolt Location: 14, angle: -61.86026450485575, distance: 1.1650564192124846,Arm Bolt Location: 15, angle: -33.46998021317785, distance: 0.550257283353096,Arm Bolt Location: 16, angle: -16.678435357014834, distance: 0.2374047293205434,Arm Bolt Location: 17, angle: -3.647908007781494, distance: 0.04340861797131997,Arm Bolt Location: 18, angle: 7.604447606182107, distance: -0.0601115759736407,Arm Bolt Location: 19, angle: 18.005000690654636, distance: -0.006438077272125573,
Spring Hole: 10,Invalid config,0,0,Invalid config,0,0,Invalid config,0,0,Invalid config,0,0,Invalid config,0,0,Invalid config,0,0,Invalid config,0,0,Invalid config,0,0,Invalid config,0,0,Invalid config,0,0,Invalid config,0,0,Arm Bolt Location: 11, angle: NaN, distance: NaN,Arm Bolt Location: 12, angle: NaN, distance: NaN,Arm Bolt Location: 13, angle: NaN, distance: NaN,Arm Bolt Location: 14, angle: NaN, distance: NaN,Arm Bolt Location: 15, angle: -61.86026450485575, distance: 1.1857983094996527,Arm Bolt Location: 16, angle: -33.46998021317785, distance: 0.5469729945021449,Arm Bolt Location: 17, angle: -16.678435357014834, distance: 0.23390242247047047,Arm Bolt Location: 18, angle: -3.647908007781494, distance: 0.04187568809505208,Arm Bolt Location: 19, angle: 7.604447606182107, distance: -0.053434783549466444,
